key_enter                   kent       @8   enter/send key
#
key_home                    khome      kh   home key
key_end                     kend       @7   end key
key_shome                   kHOM       #2   shifted home key
key_send                    kEND       *7   shifted end key
#
key_down                    kcud1      kd   down-arrow key
key_left                    kcub1      kl   left-arrow key
key_right                   kcuf1      kr   right-arrow key
key_up                      kcuu1      ku   up-arrow key
#
key_npage                   knp        kN   next-page key
key_ppage                   kpp        kP   previous-page key
#
key_f1                      kf1        k1   F1 function key
key_f2                      kf2        k2   F2 function key
key_f3                      kf3        k3   F3 function key
key_f4                      kf4        k4   F4 function key
key_f5                      kf5        k5   F5 function key
key_f6                      kf6        k6   F6 function key
key_f7                      kf7        k7   F7 function key
key_f8                      kf8        k8   F8 function key
key_f9                      kf9        k9   F9 function key
key_f10                     kf10       k;   F10 function key
key_f11                     kf11       F1   F11 function key
key_f12                     kf12       F2   F12 function key
#
key_backspace               kbs        kb   backspace key
key_dc                      kdch1      kD   delete-character key
key_ic                      kich1      kI   insert-character key
key_sdc                     kDC        *4   shifted delete-character key
key_sic                     kIC        #3   shifted insert-character key
key_sf                      kind       kF   scroll-forward key
key_sr                      kri        kR   scroll-backward key
key_btab                    kcbt       kB   back-tab key
key_beg                     kbeg       @1   begin key
key_sleft                   kLFT       #4   shifted left-arrow key
key_snext                   kNXT       %c   shifted next key
key_sprevious               kPRV       %e   shifted previous key
key_sright                  kRIT       %i   shifted right-arrow key
key_mouse                   kmous      Km   Mouse event has occurred
