# -*- mode:sh -*-
# Only activate keys your program must recognize.  No need to
# search entries that you won't encounter nor act on

# Navigation keys
key_up                      kcuu1      ku   up-arrow key
key_down                    kcud1      kd   down-arrow key
key_left                    kcub1      kl   left-arrow key
key_right                   kcuf1      kr   right-arrow key

key_npage                   knp        kN   next-page key
key_ppage                   kpp        kP   previous-page key

key_home                    khome      kh   home key
key_end                     kend       @7   end key

# Mouse key: do I want to use this?
# key_mouse                   kmous      Km   Mouse event has occurred

# key_backspace               kbs        kb   backspace key
# key_dc                      kdch1      kD   delete-character key
# key_f1                      kf1        k1   F1 function key
# key_f2                      kf2        k2   F2 function key
# key_f3                      kf3        k3   F3 function key
# key_f4                      kf4        k4   F4 function key
# key_f5                      kf5        k5   F5 function key
# key_f6                      kf6        k6   F6 function key
# key_f7                      kf7        k7   F7 function key
# key_f8                      kf8        k8   F8 function key
# key_f9                      kf9        k9   F9 function key
# key_f10                     kf10       k;   F10 function key
# key_ic                      kich1      kI   insert-character key
# key_sf                      kind       kF   scroll-forward key
# key_sr                      kri        kR   scroll-backward key
# key_a1                      ka1        K1   upper left of keypad
# key_a3                      ka3        K3   upper right of keypad
# key_b2                      kb2        K2   center of keypad
# key_c1                      kc1        K4   lower left of keypad
# key_c3                      kc3        K5   lower right of keypad
# key_btab                    kcbt       kB   back-tab key
# key_beg                     kbeg       @1   begin key
# key_enter                   kent       @8   enter/send key
# key_sdc                     kDC        *4   shifted delete-character key
# key_send                    kEND       *7   shifted end key
# key_shome                   kHOM       #2   shifted home key
# key_sic                     kIC        #3   shifted insert-character key
# key_sleft                   kLFT       #4   shifted left-arrow key
# key_snext                   kNXT       %c   shifted next key
# key_sprevious               kPRV       %e   shifted previous key
# key_sright                  kRIT       %i   shifted right-arrow key
# key_f11                     kf11       F1   F11 function key
# key_f12                     kf12       F2   F12 function key
# key_f13                     kf13       F3   F13 function key
# key_f14                     kf14       F4   F14 function key
# key_f15                     kf15       F5   F15 function key
# key_f16                     kf16       F6   F16 function key
# key_f17                     kf17       F7   F17 function key
# key_f18                     kf18       F8   F18 function key
# key_f19                     kf19       F9   F19 function key
# key_f20                     kf20       FA   F20 function key
# key_f21                     kf21       FB   F21 function key
# key_f22                     kf22       FC   F22 function key
# key_f23                     kf23       FD   F23 function key
# key_f24                     kf24       FE   F24 function key
# key_f25                     kf25       FF   F25 function key
# key_f26                     kf26       FG   F26 function key
# key_f27                     kf27       FH   F27 function key
# key_f28                     kf28       FI   F28 function key
# key_f29                     kf29       FJ   F29 function key
# key_f30                     kf30       FK   F30 function key
# key_f31                     kf31       FL   F31 function key
# key_f32                     kf32       FM   F32 function key
# key_f33                     kf33       FN   F33 function key
# key_f34                     kf34       FO   F34 function key
# key_f35                     kf35       FP   F35 function key
# key_f36                     kf36       FQ   F36 function key
# key_f37                     kf37       FR   F37 function key
# key_f38                     kf38       FS   F38 function key
# key_f39                     kf39       FT   F39 function key
# key_f40                     kf40       FU   F40 function key
# key_f41                     kf41       FV   F41 function key
# key_f42                     kf42       FW   F42 function key
# key_f43                     kf43       FX   F43 function key
# key_f44                     kf44       FY   F44 function key
# key_f45                     kf45       FZ   F45 function key
# key_f46                     kf46       Fa   F46 function key
# key_f47                     kf47       Fb   F47 function key
# key_f48                     kf48       Fc   F48 function key
# key_f49                     kf49       Fd   F49 function key
# key_f50                     kf50       Fe   F50 function key
# key_f51                     kf51       Ff   F51 function key
# key_f52                     kf52       Fg   F52 function key
# key_f53                     kf53       Fh   F53 function key
# key_f54                     kf54       Fi   F54 function key
# key_f55                     kf55       Fj   F55 function key
# key_f56                     kf56       Fk   F56 function key
# key_f57                     kf57       Fl   F57 function key
# key_f58                     kf58       Fm   F58 function key
# key_f59                     kf59       Fn   F59 function key
# key_f60                     kf60       Fo   F60 function key
# key_f61                     kf61       Fp   F61 function key
# key_f62                     kf62       Fq   F62 function key
# key_f63                     kf63       Fr   F63 function key
